,news_headline,news_article,news_category,token,labels_true,principal component 1,principal component 2,labels
10,Copa America Trophy to be minted as NFT,"Community-oriented platform Ethernity Chain has announced that it will mint the Copa America trophy as a non-fungible token (NFT) in association with the South American Football Confederation (CONMEBOL). Recently, Argentina beat Brazil 1-0 to win their 15th Copa America title. Four other digital collectibles, commemorating the football teams of Argentina and Brazil, are also being minted,.",technology,"['community', 'oriented', 'platform', 'ethernity', 'chain', 'announced', 'mint', 'copa', 'america', 'trophy', 'non', 'fungible', 'token', 'nft', 'association', 'south', 'american', 'football', 'confederation', 'conmebol', 'recently', 'argentina', 'beat', 'brazil', 'win', 'copa', 'america', 'title', 'digital', 'collectibles', 'commemorating', 'football', 'teams', 'argentina', 'brazil', 'minted']",2,0.06304068028055959,-0.16555890335526355,0
11,Facebook staff want it to do more against UK players' abuse: Report,"Several Facebook employees are ""frustrated"" that it is not doing enough to stop racist comments on English footballers Bukayo Saka and Marcus Rashford's accounts, journalist Ryan Mac reported. The employees have been flagging comments for over 12 hours now and some are wondering why Facebook wasn't more prepared. Facebook said it removed comments and accounts directing abuse at the players.",technology,"['facebook', 'employees', 'frustrated', 'doing', 'stop', 'racist', 'comments', 'english', 'footballers', 'bukayo', 'saka', 'marcus', 'rashford', 'accounts', 'journalist', 'ryan', 'mac', 'reported', 'employees', 'flagging', 'comments', 'hours', 'wondering', 'facebook', 'wasn', 'prepared', 'facebook', 'said', 'removed', 'comments', 'accounts', 'directing', 'abuse', 'players']",2,-0.10390985866179775,-0.024319159617964093,2
12,Billionaire Branson acquires stake in 1st space tech fund Seraphim,"Virgin Group's billionaire Founder Richard Branson has acquired a stake in Seraphim Space Investment Trust, the first venture capital fund focused on the space sector. Branson purchased the stock as part of a 178 million pound ($247 million) initial public offering, Seraphim's Chairman Will Whitehorn said, without revealing the size of Branson's investment. Branson flew to space on Sunday.",technology,"['virgin', 'group', 'billionaire', 'founder', 'richard', 'branson', 'acquired', 'stake', 'seraphim', 'space', 'investment', 'trust', 'venture', 'capital', 'fund', 'focused', 'space', 'sector', 'branson', 'purchased', 'stock', 'million', 'pound', 'million', 'initial', 'public', 'offering', 'seraphim', 'chairman', 'whitehorn', 'said', 'revealing', 'size', 'branson', 'investment', 'branson', 'flew', 'space', 'sunday']",2,-0.12728037624571711,-0.02533546866327668,2
13,Elon Musk says his 'sense of humour' gives free press for Tesla,"Tesla CEO Elon Musk, in response to being questioned about giving himself the title of 'Technoking of Tesla' in a US court, said he thinks he is ""funny"" and that his ""sense of humour"" gives Tesla free press. He added if his company entertains people, they will write stories about it. Musk was in court to defend Tesla's SolarCity acquisition.",technology,"['tesla', 'ceo', 'elon', 'musk', 'response', 'questioned', 'giving', 'title', 'technoking', 'tesla', 'court', 'said', 'thinks', 'funny', 'sense', 'humour', 'gives', 'tesla', 'free', 'press', 'added', 'company', 'entertains', 'people', 'write', 'stories', 'musk', 'court', 'defend', 'tesla', 'solarcity', 'acquisition']",2,-0.07956452629534815,-0.03039531735535101,2
14,Bhutan adopts India's BHIM UPI payments system,"Finance Minister Nirmala Sitharaman and her Bhutanese counterpart Lyonpo Namgay Tshering jointly launched India's BHIM UPI payments system in Bhutan. With this, Bhutan has become the first country to adopt UPI standards for its QR deployment. ""BHIM UPI is one of the achievements of India in terms of fintech,"" Sitharaman said, who also made a live transaction during the launch.",technology,"['finance', 'minister', 'nirmala', 'sitharaman', 'bhutanese', 'counterpart', 'lyonpo', 'namgay', 'tshering', 'jointly', 'launched', 'india', 'bhim', 'upi', 'payments', 'bhutan', 'bhutan', 'country', 'adopt', 'upi', 'standards', 'deployment', 'bhim', 'upi', 'achievements', 'india', 'terms', 'fintech', 'sitharaman', 'said', 'live', 'transaction', 'launch']",2,0.04069690787677485,0.07739506629316423,1
15,"Man who bought $93,000 Bitcoin in a day gets 3 yrs prison in US","A 33-year-old identity thief, who bought at least $166,000 (₹1.23 crore) in Bitcoin between February 2017-November 2017, has been given three years prison term in the US. Aaron Laws bought the bulk of this Bitcoin, $93,000, on August 23. Between February 2017 and December 2018, Laws bought various items, including a diamond-encrusted pendant in the shape of a Bitcoin symbol. ",technology,"['year', 'old', 'identity', 'thief', 'bought', 'crore', 'bitcoin', 'february', 'november', 'given', 'years', 'prison', 'term', 'aaron', 'laws', 'bought', 'bulk', 'bitcoin', 'august', 'february', 'december', 'laws', 'bought', 'various', 'items', 'including', 'diamond', 'encrusted', 'pendant', 'shape', 'bitcoin', 'symbol']",2,-0.09520727023910804,-0.05815739217107146,2
16,Tesla Cybertruck to use Samsung cameras under $436 mn deal: Report,"Samsung has signed a $436 million deal to supply camera modules for Tesla Cybertruck, media reports said citing South Korean news outlets. The EV will have more than eight cameras and feature cameras instead of side mirrors. Earlier, Tesla CEO Elon Musk had said Cybertruck will have rear wheel steering to make ""tight turns"" and manoeuvre with ""high agility"".
",technology,"['samsung', 'signed', 'million', 'deal', 'supply', 'camera', 'modules', 'tesla', 'cybertruck', 'media', 'reports', 'said', 'citing', 'south', 'korean', 'news', 'outlets', 'cameras', 'feature', 'cameras', 'instead', 'mirrors', 'earlier', 'tesla', 'ceo', 'elon', 'musk', 'said', 'cybertruck', 'rear', 'wheel', 'steering', 'make', 'tight', 'turns', 'manoeuvre', 'high', 'agility']",2,-0.11773924778023401,-0.06661065860533641,2
17,Tesla Solar Panels led to mould in our house: US couple seeking ₹85 lakh,"A US couple has said Tesla Solar Panels installed on their house have led to several leaks and mould, Business Insider reported. They have now faced 18 months of multiple leaks and a mould infestation that forced them out of their home for three months. The couple has an ongoing dispute with Tesla and seeks ₹85.7 lakh ($115,000) in damages.",technology,"['couple', 'said', 'tesla', 'solar', 'panels', 'installed', 'house', 'led', 'leaks', 'mould', 'business', 'insider', 'reported', 'faced', 'months', 'multiple', 'leaks', 'mould', 'infestation', 'forced', 'home', 'months', 'couple', 'ongoing', 'dispute', 'tesla', 'seeks', 'lakh', 'damages']",2,-0.18016342022343695,0.000807187555334402,2
18,Gmail to roll out authenticated brand logo feature in coming weeks,"Gmail will be rolling out the support for authenticated brand logo safety feature for emails in the coming weeks. The platform had announced the Brand Indicators for Message Identification (BIMI) pilot last year, under which brands could add their logos to authenticated emails. BIMI leverages Mark Verifying Authorities to verify logo ownership and provide proof of verification.",technology,"['gmail', 'rolling', 'support', 'authenticated', 'brand', 'logo', 'safety', 'feature', 'emails', 'coming', 'weeks', 'platform', 'announced', 'brand', 'indicators', 'message', 'identification', 'bimi', 'pilot', 'year', 'brands', 'add', 'logos', 'authenticated', 'emails', 'bimi', 'leverages', 'mark', 'verifying', 'authorities', 'verify', 'logo', 'ownership', 'provide', 'proof', 'verification']",2,-0.21259229159221707,-0.04509476897341242,2
19,"Indore Police's website hacked, slogans like 'free Kashmir' posted","The 'Contact Us' section of the Indore Police website was hacked on Tuesday and objectionable content about Prime Minister Narendra Modi along with slogans like ""free Kashmir"" were posted on it, officials said. One 'Muhammad Bilal Team PCE' claimed to have hacked the website. A senior police official said the accused will be held soon. ",technology,"['contact', 'section', 'indore', 'police', 'website', 'hacked', 'tuesday', 'objectionable', 'content', 'prime', 'minister', 'narendra', 'modi', 'slogans', 'like', 'free', 'kashmir', 'posted', 'officials', 'said', 'muhammad', 'bilal', 'team', 'pce', 'claimed', 'hacked', 'website', 'senior', 'police', 'official', 'said', 'accused', 'held', 'soon']",2,-0.003551520105923663,0.11139909956696614,1
20,1 Bitcoin's carbon footprint equals 1.3 lakh hrs of YouTube videos: Report,"A single Bitcoin transaction can consume up to 1752.79 KWh of electrical energy on an average, according to Digiconomist's Bitcoin Energy Consumption Index. The carbon footprint of this one transaction is equivalent to 1,38,762 hours of watching videos on YouTube. The report suggests that if Bitcoin was a country, it would account for 3.2% of total energy consumption in US.",technology,"['single', 'bitcoin', 'transaction', 'consume', 'kwh', 'electrical', 'energy', 'average', 'according', 'digiconomist', 'bitcoin', 'energy', 'consumption', 'index', 'carbon', 'footprint', 'transaction', 'equivalent', 'hours', 'watching', 'videos', 'youtube', 'report', 'suggests', 'bitcoin', 'country', 'account', 'total', 'energy', 'consumption']",2,-0.2240623774849741,-0.030100415918556934,2
21,"Twitter 'mistakenly' verifies fake accounts, suspends them later","Twitter has admitted that it ""mistakenly"" verified a small number of fake accounts and have suspended them permanently. This comes after a data scientist discovered six verified accounts created on June 16, with roughly and mostly the same 1,000 followers. The accounts hadn't posted a single tweet and two of them appeared to be using stock photographs as profile pictures.",technology,"['twitter', 'admitted', 'mistakenly', 'verified', 'small', 'number', 'fake', 'accounts', 'suspended', 'permanently', 'comes', 'data', 'scientist', 'discovered', 'verified', 'accounts', 'created', 'june', 'roughly', 'followers', 'accounts', 'hadn', 'posted', 'single', 'tweet', 'appeared', 'using', 'stock', 'photographs', 'profile', 'pictures']",2,-0.18199888994325691,-0.03818015352068992,2
22,Community-owned Indonesian resort's NFTs to be auctioned in July,"The world's ""first-ever"" community-owned Indonesian resort's Rewarding Timeshare (RTS) NFT will be auctioned by the LABS Group on July 15. The resort NFT ownership will tokenise and fractionalise the entire resort into 365 RTS-NFTs, and each will be sold through an auction for 13 days. Each RTS-NFT will carry a staying right that can be exchanged with other RTS-NFT holders.",technology,"['world', 'community', 'owned', 'indonesian', 'resort', 'rewarding', 'timeshare', 'rts', 'nft', 'auctioned', 'labs', 'group', 'july', 'resort', 'nft', 'ownership', 'tokenise', 'fractionalise', 'entire', 'resort', 'rts', 'nfts', 'sold', 'auction', 'days', 'rts', 'nft', 'carry', 'staying', 'right', 'exchanged', 'rts', 'nft', 'holders']",2,-0.022726831520477428,-0.05328077926193549,2
23,Instagram tests 'Reshare' label in Stories for recently seen Posts,"Instagram is testing a new feature that will let users reshare Posts that they have viewed in the last hour, saved or posted themselves, to their Stories. The content will be collected under a new 'Reshare' sticker, which can be found in the sticker tray when creating a Story. Instagram earlier tested the option to completely disable resharing of Posts.",technology,"['instagram', 'testing', 'new', 'feature', 'let', 'users', 'reshare', 'posts', 'viewed', 'hour', 'saved', 'posted', 'stories', 'content', 'collected', 'new', 'reshare', 'sticker', 'sticker', 'tray', 'creating', 'story', 'instagram', 'earlier', 'tested', 'option', 'completely', 'disable', 'resharing', 'posts']",2,-0.18816872010705202,-0.08563794473753597,2
24,British police seize record $249 mn of cryptocurrency in London,"British police have seized a record $249 million worth of cryptocurrency linked to international money laundering in London. The haul follows a previous confiscation of cryptocurrency worth $157.9 million by the police on June 24. A 39-year-old woman, arrested on suspicion of money laundering on June 24, has been interviewed over the new seizure.",technology,"['british', 'police', 'seized', 'record', 'million', 'worth', 'cryptocurrency', 'linked', 'international', 'money', 'laundering', 'london', 'haul', 'follows', 'previous', 'confiscation', 'cryptocurrency', 'worth', 'million', 'police', 'june', 'year', 'old', 'woman', 'arrested', 'suspicion', 'money', 'laundering', 'june', 'interviewed', 'new', 'seizure']",2,-0.11991632786670275,-0.012492724008270435,2
25,I will eat ice-cream with you after the Tokyo Olympics: PM Modi to PV Sindhu ,"During an online interaction with India's Tokyo-bound athletes, PM Narendra Modi asked ace badminton player PV Sindhu if she was banned from eating ice-cream just like during the 2016 Rio Olympics. Sindhu said she couldn't eat a lot of ice-cream as she had to control her diet. PM then said, ""When you come back...I'll have ice-cream with you.""",sports,"['online', 'interaction', 'india', 'tokyo', 'bound', 'athletes', 'narendra', 'modi', 'asked', 'ace', 'badminton', 'player', 'sindhu', 'banned', 'eating', 'ice', 'cream', 'just', 'like', 'rio', 'olympics', 'sindhu', 'said', 'couldn', 'eat', 'lot', 'ice', 'cream', 'control', 'diet', 'said', 'come', 'ice', 'cream']",0,0.055868974502578155,-0.06906198639595289,0
26,Ireland beat South Africa for the first time in ODI cricket,"Ireland defeated South Africa by 43 runs in the second ODI of the three-match series. It's Ireland's first-ever victory against South Africa in ODIs. Ireland captain Andy Balbirnie smashed a hundred to help his team put up a total of 290/5. South Africa were dismissed for 247 as Ireland's Mark Adair, Joshua Little and Andy McBrine took two wickets each.",sports,"['ireland', 'defeated', 'south', 'africa', 'runs', 'second', 'odi', 'match', 'series', 'ireland', 'victory', 'south', 'africa', 'odis', 'ireland', 'captain', 'andy', 'balbirnie', 'smashed', 'help', 'team', 'total', 'south', 'africa', 'dismissed', 'ireland', 'mark', 'adair', 'joshua', 'little', 'andy', 'mcbrine', 'took', 'wickets']",0,0.16183483640727409,-0.16501266914330773,0
27,Crawl back under your rock: UK PM to those racially abusing football players,"Condemning people who are racially abusing England players after the team's Euro 2020 final defeat against Italy, UK PM Boris Johnson said, ""I hope you will crawl back under the rock from which you emerged."" Black England players Bukayo Saka, Marcus Rashford and Jadon Sancho were racially abused after they failed to score in the penalty shootout in the final.",sports,"['condemning', 'people', 'racially', 'abusing', 'england', 'players', 'team', 'euro', 'final', 'defeat', 'italy', 'boris', 'johnson', 'said', 'hope', 'crawl', 'rock', 'emerged', 'black', 'england', 'players', 'bukayo', 'saka', 'marcus', 'rashford', 'jadon', 'sancho', 'racially', 'abused', 'failed', 'score', 'penalty', 'shootout', 'final']",0,0.06090751539008921,-0.11421547292112945,0
28,"F1 driver Lando's £40,000 watch stolen outside Wembley Stadium after Euro final","British-Belgian Formula One driver Lando Norris was robbed outside Wembley Stadium in London after attending the Euro 2020 final on Sunday. The 21-year-old had his personalised £40,000 watch stolen while he was going towards his car. McLaren F1 team revealed that a police investigation is underway and, although Lando was left unhurt, he is ""still in shock"" after the incident.",sports,"['british', 'belgian', 'formula', 'driver', 'lando', 'norris', 'robbed', 'outside', 'wembley', 'stadium', 'london', 'attending', 'euro', 'final', 'sunday', 'year', 'old', 'personalised', 'watch', 'stolen', 'going', 'car', 'mclaren', 'team', 'revealed', 'police', 'investigation', 'underway', 'lando', 'left', 'unhurt', 'shock', 'incident']",0,0.008550810789205363,-0.10535199502974855,0
29,"India to send 228 members to Tokyo Games, its largest-ever Olympic contingent","India will be sending a 228-strong contingent to the Tokyo Olympics, including 119 athletes, IOA President Narinder Batra said on Tuesday. This will be India’s largest-ever contingent of athletes at the Olympics. Out of the 119 athletes, 67 are male and 52 female participants, Batra said during Prime Minister Narendra Modi’s interaction with Olympic-bound athletes. ",sports,"['india', 'sending', 'strong', 'contingent', 'tokyo', 'olympics', 'including', 'athletes', 'ioa', 'president', 'narinder', 'batra', 'said', 'tuesday', 'india', 'largest', 'contingent', 'athletes', 'olympics', 'athletes', 'male', 'female', 'participants', 'batra', 'said', 'prime', 'minister', 'narendra', 'modi', 'interaction', 'olympic', 'bound', 'athletes']",0,0.09708213504545282,0.025692169543247316,1
30,Roger Federer withdraws from Tokyo Olympics due to knee injury,"Twenty-time Grand Slam champion Roger Federer has withdrawn from Tokyo Olympics due to knee injury he sustained during the grass-court season. ""I'm greatly disappointed...as it has been an honour and highlight of my career each time I've represented Switzerland,"" he said. The 39-year-old added that he is planning to return to ATP Tour later in the year following rehabilitation work.
",sports,"['time', 'grand', 'slam', 'champion', 'roger', 'federer', 'withdrawn', 'tokyo', 'olympics', 'knee', 'injury', 'sustained', 'grass', 'court', 'season', 'greatly', 'disappointed', 'honour', 'highlight', 'career', 'time', 'represented', 'switzerland', 'said', 'year', 'old', 'added', 'planning', 'return', 'atp', 'tour', 'later', 'year', 'following', 'rehabilitation', 'work']",0,0.001622064321651153,-0.11019361274286447,0
31,ICC don't want me to use 'The Universe Boss' sticker: Chris Gayle,"Talking about using just 'The Boss' sticker instead of 'The Universe Boss' sticker, West Indies' 41-year-old all-rounder Chris Gayle said, ""The ICC don't want me to use 'The Universe Boss' sticker so I've shortened it."" On being asked if the ICC have copyright over 'Universe Boss', Gayle jokingly added, ""I am the boss of cricket, not the ICC.""",sports,"['talking', 'using', 'just', 'boss', 'sticker', 'instead', 'universe', 'boss', 'sticker', 'west', 'indies', 'year', 'old', 'rounder', 'chris', 'gayle', 'said', 'icc', 'don', 'want', 'use', 'universe', 'boss', 'sticker', 'shortened', 'asked', 'icc', 'copyright', 'universe', 'boss', 'gayle', 'jokingly', 'added', 'boss', 'cricket', 'icc']",0,0.010331040654914246,-0.07629771334261587,0
32,Fan's 2013 tweet predicting Italy's win over England in Euro 2020 goes viral,"A football fan's eight-year-old tweet correctly predicting Italy's win over England in the Euro 2020 final after a penalty shootout has gone viral on social media. However, the fan said he doesn't remember predicting the result and tweeted, ""WHY has someone found this, I don't even know what this is or what game I was presumably playing.""",sports,"['football', 'fan', 'year', 'old', 'tweet', 'correctly', 'predicting', 'italy', 'win', 'england', 'euro', 'final', 'penalty', 'shootout', 'gone', 'viral', 'social', 'media', 'fan', 'said', 'doesn', 'remember', 'predicting', 'result', 'tweeted', 'don', 'know', 'game', 'presumably', 'playing']",0,-0.03553339148578945,-0.1546461184986565,0
33,Was excited to show him what we've done: '83' maker on Yashpal's death,"Following the demise of former Indian cricketer Yashpal Sharma, '83' director Kabir Khan said, ""We received the news in the morning, and it's terrible and shocking."" ""I was really excited to show him what we've done with his character...it's sad we couldn't show him that part,"" he added. '83' is based on India's win in the 1983 Cricket World Cup. ",sports,"['following', 'demise', 'indian', 'cricketer', 'yashpal', 'sharma', 'director', 'kabir', 'khan', 'said', 'received', 'news', 'morning', 'terrible', 'shocking', 'really', 'excited', 'character', 'sad', 'couldn', 'added', 'based', 'india', 'win', 'cricket', 'world', 'cup']",0,0.08266004666325878,-0.043874947583613606,0
34,History will never forget you: Jatin Sarna on Yashpal Sharma's death,"Actor Jatin Sarna took to Instagram to mourn the demise of former India cricketer Yashpal Sharma, whose role he plays in the upcoming movie '83, saying, ""History will never forget you."" Sarna also shared pictures of the 1983 World Cup-winning batsman with himself and the '83 team. ""The innings were still left...we had to watch the film together,"" Sarna added.",sports,"['actor', 'jatin', 'sarna', 'took', 'instagram', 'mourn', 'demise', 'india', 'cricketer', 'yashpal', 'sharma', 'role', 'plays', 'upcoming', 'movie', 'saying', 'history', 'forget', 'sarna', 'shared', 'pictures', 'world', 'cup', 'winning', 'batsman', 'team', 'innings', 'left', 'watch', 'film', 'sarna', 'added']",0,0.10878321068341422,-0.10064993596985392,0
35,Copa America Trophy to be minted as NFT,"Community-oriented platform Ethernity Chain has announced that it will mint the Copa America trophy as a non-fungible token (NFT) in association with the South American Football Confederation (CONMEBOL). Recently, Argentina beat Brazil 1-0 to win their 15th Copa America title. Four other digital collectibles, commemorating the football teams of Argentina and Brazil, are also being minted,.",sports,"['community', 'oriented', 'platform', 'ethernity', 'chain', 'announced', 'mint', 'copa', 'america', 'trophy', 'non', 'fungible', 'token', 'nft', 'association', 'south', 'american', 'football', 'confederation', 'conmebol', 'recently', 'argentina', 'beat', 'brazil', 'win', 'copa', 'america', 'title', 'digital', 'collectibles', 'commemorating', 'football', 'teams', 'argentina', 'brazil', 'minted']",0,0.06304068028055959,-0.16555890335526355,0
36,Djokovic 1st player to qualify for 2021 ATP Finals after Wimbledon win,"Novak Djokovic became first player to qualify for 2021 ATP Finals after the world number one tied Roger Federer and Rafael Nadal's record with his 20th Grand Slam at Wimbledon on Sunday. Djokovic secured his 14th qualification for the season finale after winning his third straight major of 2021. The tournament will be held from November 14-21 in Turin, Italy.",sports,"['novak', 'djokovic', 'player', 'qualify', 'atp', 'finals', 'world', 'number', 'tied', 'roger', 'federer', 'rafael', 'nadal', 'record', 'grand', 'slam', 'wimbledon', 'sunday', 'djokovic', 'secured', 'qualification', 'season', 'finale', 'winning', 'straight', 'major', 'tournament', 'held', 'november', 'turin', 'italy']",0,0.16956445696391506,-0.2327786974757369,0
37,Facebook staff want it to do more against UK players' abuse: Report,"Several Facebook employees are ""frustrated"" that it is not doing enough to stop racist comments on English footballers Bukayo Saka and Marcus Rashford's accounts, journalist Ryan Mac reported. The employees have been flagging comments for over 12 hours now and some are wondering why Facebook wasn't more prepared. Facebook said it removed comments and accounts directing abuse at the players.",sports,"['facebook', 'employees', 'frustrated', 'doing', 'stop', 'racist', 'comments', 'english', 'footballers', 'bukayo', 'saka', 'marcus', 'rashford', 'accounts', 'journalist', 'ryan', 'mac', 'reported', 'employees', 'flagging', 'comments', 'hours', 'wondering', 'facebook', 'wasn', 'prepared', 'facebook', 'said', 'removed', 'comments', 'accounts', 'directing', 'abuse', 'players']",0,-0.10390985866179775,-0.024319159617964093,2
